user_id,step,task_id,category_id,nuance,difficulty,correct_probability,is_correct,mastery_before,mastery_after,action,selection_method,next_category,next_task_id,retrieval_status
weak_student,1,annuity_classic_03,credit_annuity,classic,1,0.5,1,0.2,0.35,advance,graph_and_mastery,credit_mixed,mixed_table_02,
weak_student,2,mixed_table_02,credit_mixed,table_given,4,0.05,0,0.0,0.0,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_table_04,ok
weak_student,3,mixed_table_04,credit_mixed,table_given,4,0.05,0,0.0,0.0,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_table_03,ok
weak_student,4,mixed_table_03,credit_mixed,table_given,4,0.05,0,0.0,0.0,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_hybrid_03,ok
weak_student,5,mixed_hybrid_03,credit_mixed,hybrid_diff_annuity,5,0.05,0,0.0,0.0,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_hybrid_02,ok
weak_student,6,mixed_hybrid_02,credit_mixed,hybrid_diff_annuity,5,0.05,0,0.0,0.0,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_hybrid_01,ok
weak_student,7,mixed_hybrid_01,credit_mixed,hybrid_diff_annuity,5,0.05,0,0.0,0.0,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_table_01,ok
weak_student,8,mixed_table_01,credit_mixed,table_given,4,0.05,0,0.0,0.0,hint_and_repeat,graph_and_mastery,credit_annuity,annuity_rate_01,empty
weak_student,9,annuity_rate_01,credit_annuity,find_rate,2,0.45,0,0.35,0.25,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_classic_02,ok
weak_student,10,annuity_classic_02,credit_annuity,classic,1,0.51,0,0.25,0.15,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_classic_05,ok
weak_student,11,annuity_classic_05,credit_annuity,classic,1,0.49,0,0.15,0.05,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_rate_03,ok
weak_student,12,annuity_rate_03,credit_annuity,find_rate,2,0.39,0,0.05,0.0,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_plans_03,ok
growing_student,1,annuity_rate_03,credit_annuity,find_rate,2,0.71,0,0.35,0.25,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_plans_03,ok
growing_student,2,annuity_plans_03,credit_annuity,two_plans,3,0.61,1,0.25,0.4,advance,graph_and_mastery,credit_mixed,mixed_table_01,
growing_student,3,mixed_table_01,credit_mixed,table_given,4,0.36,1,0.1,0.25,advance,graph_and_mastery,optimization,opt_alloc_03,
growing_student,4,opt_alloc_03,optimization,production_allocation,5,0.19,0,0.05,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_alloc_04,ok
growing_student,5,opt_alloc_04,optimization,production_allocation,5,0.18,1,0.0,0.15,repeat,graph_and_mastery,optimization,opt_alloc_01,
growing_student,6,opt_alloc_01,optimization,production_allocation,5,0.21,0,0.15,0.05,hint_and_retrieve_similar,retrieval,optimization,opt_profit_04,ok
growing_student,7,opt_profit_04,optimization,profit_maximization,5,0.19,0,0.05,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_profit_03,ok
